,Unnamed: 0,created_at,id_str,conversation_id_str,full_text,lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticon_list
10,10,2021-05-02T05:37:07+00:00,1388729241567744000,1388729241567744000,deleted bald #ConmocionInteriorYA https://t.co/VBynMJlYVS,en,False,False,0,7,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1387843946655612930/pu/img/_f41zsssVt0_Wq5T.jpg"", ""type"": ""photo""}]",2021-05-02,"['delete', 'bald', 'conmocioninteriorya']",[],[]
11,11,2021-05-02T05:36:21+00:00,1388729049292365827,1388729049292365827,"JIMINSHIIIII ✨✨✨
#ConmocionInteriorYA https://t.co/DjmdQoHICL",en,False,False,0,0,0,0,,,,1177793018188972032,ve5pula,Susana,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388728929062621184/pu/img/Lv4rjxniY431OSkm.jpg"", ""type"": ""photo""}]",2021-05-02,"['jiminshiii', 'conmocioninteriorya']",['✨✨✨'],[]
12,12,2021-05-02T05:29:47+00:00,1388727396602421249,1388727396602421249,"#ConmocionInteriorYA
Jimin... Thissforreaaal! Call me when you want! https://t.co/hH9HSsUUNI",en,False,False,0,2,0,0,,,,1385707318147493895,Dorameandoando,Dorameandoando,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388727334744776704/pu/img/80JzCSOXQYUihR7m.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'jimin', 'thissforreaaal', 'call', 'want']",[],[]
13,13,2021-05-02T05:25:16+00:00,1388726259987984389,1388726259987984389,"#ConmocionInteriorYA no, #CLC and #stanclc yes https://t.co/n1fBzKwyJ8",en,False,False,0,14,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,"#ConmocionInteriorYA , #CLC , #stanclc",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1332425214102278145/pu/img/WxzOkl9s31n0nrOL.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'clc', 'stanclc', 'yes']",[],[]
14,14,2021-05-02T05:23:19+00:00,1388725771372466181,1388725771372466181,"Best dancer eveeeeeer

#ConmocionInteriorYA https://t.co/SS6lNbETJa",en,False,False,0,0,0,0,,,,1177793018188972032,ve5pula,Susana,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388725696126754824/pu/img/hOYEW1-up_1pAJbA.jpg"", ""type"": ""photo""}]",2021-05-02,"['best', 'dancer', 'eveeer', 'conmocioninteriorya']",[],[]
15,15,2021-05-02T05:20:37+00:00,1388725091886944257,1388725091886944257,"i miss these mukbangs so much 🤭
#ConmocionInteriorYA",en,False,False,2,24,3,0,1.388704234040791e+18,,,1329334556051316736,colyeye,Lina 🇨🇴🦋,False,,,#ConmocionInteriorYA,,,[],2021-05-02,"['miss', 'mukbangs', 'much', 'conmocioninteriorya']",['🤭'],[]
16,16,2021-05-02T05:19:56+00:00,1388724918192332801,1388724918192332801,#ConmocionInteriorYA google define sexy https://t.co/AhCEVTJV2A,en,False,False,0,11,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1387309092490858496/pu/img/tO5EMK1y_jAOogwU.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'google', 'define', 'sexy']",[],[]
17,17,2021-05-02T05:19:54+00:00,1388724909585612803,1388724909585612803,"this taehyung lives in my head 24/7

#ConmocionInteriorYA 

 https://t.co/F7NvqTxbfn",en,False,False,0,7,0,0,,,,1352651331152957441,anniehehet,𝕒𝕟𝕟𝕒⎈⁷,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1271294986039054336/pu/img/eKimuZu-_9DvrVKj.jpg"", ""type"": ""photo""}]",2021-05-02,"['taehyung', 'life', 'head', 'conmocioninteriorya']",[],[]
18,18,2021-05-02T05:19:05+00:00,1388724705629245441,1388724705629245441,"If some of my yeyes or hyunjis can help my sharing this hashtag, I’ll be really thankful. My country is in danger and we need to spread this hashtag with pictures or gifs of your favorites. Pls help 

 #ConmocionInteriorYA https://t.co/YzamczQrEe",en,False,False,12,46,2,3,,,,1329334556051316736,colyeye,Lina 🇨🇴🦋,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/media/E0W9wlYWUAIVfQM.jpg"", ""type"": ""photo""}]",2021-05-02,"['yeyes', 'hyunjis', 'help', 'share', 'hashtag', 'ill', 'really', 'thankful', 'country', 'danger', 'need', 'spread', 'hashtag', 'picture', 'gifs', 'favorite', 'pls', 'help', 'conmocioninteriorya']",[],[]
19,19,2021-05-02T05:17:40+00:00,1388724348744253441,1388724348744253441,"why #ConmocionInteriorYA when you can stan CLC
https://t.co/oe5qGWdwpI",en,False,False,0,15,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388475213806018560/pu/img/9k2yyC8RUWg_T3sg.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'stan', 'clc']",[],[]
20,20,2021-05-02T17:36:58+00:00,1388910400285167617,1388906479470661636,@jarizabaletaf @Dona_Pily2 @IvanDuque #ConmocionInteriorYA Dr. Jaime,en,False,False,1,1,0,0,,,,1388478572109643781,Joseph2a7881611,Joseph2a78816159,False,1.3889064794706616e+18,965331540.0,#ConmocionInteriorYA,"jarizabaletaf , Dona_Pily2 , IvanDuque",,[],2021-05-02,"['conmocioninteriorya', 'dr', 'jaime']",[],[]
21,21,2021-05-02T08:47:50+00:00,1388777239588843522,1388777239588843522,"Namjoon my president
#ApoyoAMiFuerzaPublica #LaVozDeUribeSomosTodos 
#UribeSomosTodos
#UribeTieneLaRazon
#MilitarizarLasCallesYa 
#UribeTieneLaRazon 
#YoApoyoALaFuerzaPublica 
#YoApoyoAlEsmad 
#YoApoyoAMisHeroes 
#YoProtejoMiPais 
#ConmocionInteriorYA
#MilitarizacionYa",en,False,False,0,1,0,0,1.388736289105748e+18,,,1195495549342027776,Paola81443116,Paola,False,,,"#ApoyoAMiFuerzaPublica , #LaVozDeUribeSomosTodos , #UribeSomosTodos , #UribeTieneLaRazon , #MilitarizarLasCallesYa , #UribeTieneLaRazon , #YoApoyoALaFuerzaPublica , #YoApoyoAlEsmad , #YoApoyoAMisHeroes , #YoProtejoMiPais , #ConmocionInteriorYA , #MilitarizacionYa",,,[],2021-05-02,"['namjoon', 'president', 'apoyoamifuerzapublica', 'lavozdeuribesomostodos', 'uribesomostodos', 'uribetienelarazon', 'militarizarlascallesya', 'uribetienelarazon', 'yoapoyoalafuerzapublica', 'yoapoyoalesmad', 'yoapoyoamisheroes', 'yoprotejomipais', 'conmocioninteriorya', 'militarizacionya']",[],[]
22,22,2021-05-02T08:47:26+00:00,1388777138741030912,1388777138741030912,"eren supremacy
#ApoyoAMiFuerzaPublica #LaVozDeUribeSomosTodos 
#UribeSomosTodos
#UribeTieneLaRazon
#MilitarizarLasCallesYa 
#UribeTieneLaRazon 
#YoApoyoALaFuerzaPublica 
#YoApoyoAlEsmad 
#YoApoyoAMisHeroes 
#YoProtejoMiPais 
#ConmocionInteriorYA
#MilitarizacionYa",en,False,False,0,1,0,0,1.3887474494188872e+18,,,1195495549342027776,Paola81443116,Paola,False,,,"#ApoyoAMiFuerzaPublica , #LaVozDeUribeSomosTodos , #UribeSomosTodos , #UribeTieneLaRazon , #MilitarizarLasCallesYa , #UribeTieneLaRazon , #YoApoyoALaFuerzaPublica , #YoApoyoAlEsmad , #YoApoyoAMisHeroes , #YoProtejoMiPais , #ConmocionInteriorYA , #MilitarizacionYa",,,[],2021-05-02,"['eren', 'supremacy', 'apoyoamifuerzapublica', 'lavozdeuribesomostodos', 'uribesomostodos', 'uribetienelarazon', 'militarizarlascallesya', 'uribetienelarazon', 'yoapoyoalafuerzapublica', 'yoapoyoalesmad', 'yoapoyoamisheroes', 'yoprotejomipais', 'conmocioninteriorya', 'militarizacionya']",[],[]
23,23,2021-05-02T06:09:19+00:00,1388737344908447745,1388737344908447745,"The amazing world of jungwoo 🎉
#ConmocionInteriorYA 
https://t.co/7PQtBUM5tk",en,False,False,0,5,0,0,1.3840403207158129e+18,,,714618936529182720,jugodemarcuya,jugodemaracuya🇨🇴,False,,,#ConmocionInteriorYA,,https://t.co/7PQtBUM5tk,[],2021-05-02,"['amaze', 'world', 'jungwoo', 'conmocioninteriorya']",['🎉'],[]
24,24,2021-05-02T06:07:31+00:00,1388736891760033794,1388736891760033794,"De paso stream a drunk dazed ✌️😎
#ConmocionInteriorYA 
https://t.co/cw0JHl5wSh",en,False,False,0,3,0,0,1.387804221005779e+18,,,714618936529182720,jugodemarcuya,jugodemaracuya🇨🇴,False,,,#ConmocionInteriorYA,,https://t.co/cw0JHl5wSh,[],2021-05-02,"['de', 'paso', 'stream', 'drunk', 'daze', 'conmocioninteriorya']",['✌️😎'],[]
25,25,2021-05-02T05:55:40+00:00,1388733911933542401,1388733911933542401,"#ConmocionInteriorYA 
 yoongi again Love you https://t.co/eRNKkM3D41",en,False,False,1,17,0,0,,,,976164892062437376,Holy8Y93,윤기씨사랑해요 ⁷ 💗🏖️💗,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1131298394218160128/pu/img/KzrLj3ZgOH4Tlgfr.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'yoongi', 'love']",[],[]
26,26,2021-05-02T05:52:13+00:00,1388733041158336513,1388733041158336513,"Jungkook bailando my time 😭
#ConmocionInteriorYA 
https://t.co/tvznd6HWFh",en,False,False,2,6,0,0,1.3863546441720914e+18,,,714618936529182720,jugodemarcuya,jugodemaracuya🇨🇴,False,,,#ConmocionInteriorYA,,https://t.co/tvznd6HWFh,[],2021-05-02,"['jungkook', 'bailando', 'time', 'conmocioninteriorya']",['😭'],[]
27,27,2021-05-02T05:47:11+00:00,1388731775460036608,1388731775460036608,"Yass😍

#ConmocionInteriorYA https://t.co/sups3PwPIc",en,False,False,0,1,1,0,,,,1177793018188972032,ve5pula,Susana,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388731659491717122/pu/img/Kd7mza6EEpF4TLfN.jpg"", ""type"": ""photo""}]",2021-05-02,"['yass', 'conmocioninteriorya']",['😍'],[]
28,28,2021-05-02T05:41:01+00:00,1388730226407051270,1388730226407051270,she is God #ConmocionInteriorYA https://t.co/W82mwyAbxh,en,False,False,0,4,0,0,,,,879413798926340097,lovoonlyy,di,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388543784938467328/pu/img/S_MYurHonQcoH_Zs.jpg"", ""type"": ""photo""}]",2021-05-02,"['god', 'conmocioninteriorya']",[],[]
29,29,2021-05-02T05:40:32+00:00,1388730102268190722,1388730102268190722,she is good #ConmocionInteriorYA https://t.co/W82mwyAbxh,en,False,False,1,8,0,0,,,,879413798926340097,lovoonlyy,di,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388543784938467328/pu/img/S_MYurHonQcoH_Zs.jpg"", ""type"": ""photo""}]",2021-05-02,"['good', 'conmocioninteriorya']",[],[]
30,30,2021-05-02T05:37:07+00:00,1388729241567744000,1388729241567744000,deleted bald #ConmocionInteriorYA https://t.co/VBynMJlYVS,en,False,False,0,7,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1387843946655612930/pu/img/_f41zsssVt0_Wq5T.jpg"", ""type"": ""photo""}]",2021-05-02,"['delete', 'bald', 'conmocioninteriorya']",[],[]
31,31,2021-05-02T05:36:21+00:00,1388729049292365827,1388729049292365827,"JIMINSHIIIII ✨✨✨
#ConmocionInteriorYA https://t.co/DjmdQoHICL",en,False,False,0,0,0,0,,,,1177793018188972032,ve5pula,Susana,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388728929062621184/pu/img/Lv4rjxniY431OSkm.jpg"", ""type"": ""photo""}]",2021-05-02,"['jiminshiii', 'conmocioninteriorya']",['✨✨✨'],[]
32,32,2021-05-02T05:29:47+00:00,1388727396602421249,1388727396602421249,"#ConmocionInteriorYA
Jimin... Thissforreaaal! Call me when you want! https://t.co/hH9HSsUUNI",en,False,False,0,2,0,0,,,,1385707318147493895,Dorameandoando,Dorameandoando,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388727334744776704/pu/img/80JzCSOXQYUihR7m.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'jimin', 'thissforreaaal', 'call', 'want']",[],[]
33,33,2021-05-02T05:25:16+00:00,1388726259987984389,1388726259987984389,"#ConmocionInteriorYA no, #CLC and #stanclc yes https://t.co/n1fBzKwyJ8",en,False,False,0,14,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,"#ConmocionInteriorYA , #CLC , #stanclc",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1332425214102278145/pu/img/WxzOkl9s31n0nrOL.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'clc', 'stanclc', 'yes']",[],[]
34,34,2021-05-02T05:23:19+00:00,1388725771372466181,1388725771372466181,"Best dancer eveeeeeer

#ConmocionInteriorYA https://t.co/SS6lNbETJa",en,False,False,0,0,0,0,,,,1177793018188972032,ve5pula,Susana,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388725696126754824/pu/img/hOYEW1-up_1pAJbA.jpg"", ""type"": ""photo""}]",2021-05-02,"['best', 'dancer', 'eveeer', 'conmocioninteriorya']",[],[]
35,35,2021-05-02T05:20:37+00:00,1388725091886944257,1388725091886944257,"i miss these mukbangs so much 🤭
#ConmocionInteriorYA",en,False,False,2,24,3,0,1.388704234040791e+18,,,1329334556051316736,colyeye,Lina 🇨🇴🦋,False,,,#ConmocionInteriorYA,,,[],2021-05-02,"['miss', 'mukbangs', 'much', 'conmocioninteriorya']",['🤭'],[]
36,36,2021-05-02T05:19:56+00:00,1388724918192332801,1388724918192332801,#ConmocionInteriorYA google define sexy https://t.co/AhCEVTJV2A,en,False,False,0,11,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1387309092490858496/pu/img/tO5EMK1y_jAOogwU.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'google', 'define', 'sexy']",[],[]
37,37,2021-05-02T05:19:54+00:00,1388724909585612803,1388724909585612803,"this taehyung lives in my head 24/7

#ConmocionInteriorYA 

 https://t.co/F7NvqTxbfn",en,False,False,0,7,0,0,,,,1352651331152957441,anniehehet,𝕒𝕟𝕟𝕒⎈⁷,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1271294986039054336/pu/img/eKimuZu-_9DvrVKj.jpg"", ""type"": ""photo""}]",2021-05-02,"['taehyung', 'life', 'head', 'conmocioninteriorya']",[],[]
38,38,2021-05-02T05:19:05+00:00,1388724705629245441,1388724705629245441,"If some of my yeyes or hyunjis can help my sharing this hashtag, I’ll be really thankful. My country is in danger and we need to spread this hashtag with pictures or gifs of your favorites. Pls help 

 #ConmocionInteriorYA https://t.co/YzamczQrEe",en,False,False,12,46,2,3,,,,1329334556051316736,colyeye,Lina 🇨🇴🦋,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/media/E0W9wlYWUAIVfQM.jpg"", ""type"": ""photo""}]",2021-05-02,"['yeyes', 'hyunjis', 'help', 'share', 'hashtag', 'ill', 'really', 'thankful', 'country', 'danger', 'need', 'spread', 'hashtag', 'picture', 'gifs', 'favorite', 'pls', 'help', 'conmocioninteriorya']",[],[]
39,39,2021-05-02T05:17:40+00:00,1388724348744253441,1388724348744253441,"why #ConmocionInteriorYA when you can stan CLC
https://t.co/oe5qGWdwpI",en,False,False,0,15,0,0,,,,702718477510045697,katizsche,Kati 카티,False,,,#ConmocionInteriorYA,,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1388475213806018560/pu/img/9k2yyC8RUWg_T3sg.jpg"", ""type"": ""photo""}]",2021-05-02,"['conmocioninteriorya', 'stan', 'clc']",[],[]
40,40,2021-05-09T22:48:25+00:00,1391525494399590403,1391525494399590403,"Stop the bullshit!
#ConmociónInteriorYa",en,False,False,0,0,0,0,1.3915215133550223e+18,,,3075028654,HelenUribista,👑Gee,False,,,#ConmociónInteriorYa,,,[],2021-05-09,"['stop', 'bullshit', 'conmocióninteriorya']",[],[]
41,41,2021-05-09T22:34:27+00:00,1391521977744203777,1391521513355022341,@IvanDuque @CRIC_Cauca #ConmocionInteriorYA @IvanDuque POR FAVOR YA!!!,es,False,False,0,0,0,0,,,,1377895589040549897,the_world360,360°,False,1.3915215133550223e+18,77653794.0,#ConmocionInteriorYA,"IvanDuque , CRIC_Cauca , IvanDuque",,[],2021-05-09,"['conmocioninteriorya', 'por', 'favor', 'ya']",[],[]
42,42,2021-05-09T22:33:54+00:00,1391521841655713796,1391521513355022341,@IvanDuque @CRIC_Cauca #ConmocionInteriorYA @IvanDuque POR FAVOR!!!!,es,False,False,0,0,0,0,,,,1377895589040549897,the_world360,360°,False,1.3915215133550223e+18,77653794.0,#ConmocionInteriorYA,"IvanDuque , CRIC_Cauca , IvanDuque",,[],2021-05-09,"['conmocioninteriorya', 'por', 'favor']",[],[]
43,43,2021-05-09T19:13:46+00:00,1391471476369412106,1391471476369412106,#ParoMataBebes #ElParoViolaDDHH #RepudioAlVandalo #VandalosAsesinos #NoMasBloqueos #NoMasParo #ApoyoAMiPolicia #ConmocionInteriorYA #DejanosPasar #ParoDestructorSOS BUTTER IS COMING https://t.co/Igyhb2C9xV,en,False,False,6,19,1,0,,,,1213577450052960256,blondamyte,Mona Lynch,False,,,"#ParoMataBebes , #ElParoViolaDDHH , #RepudioAlVandalo , #VandalosAsesinos , #NoMasBloqueos , #NoMasParo , #ApoyoAMiPolicia , #ConmocionInteriorYA , #DejanosPasar , #ParoDestructorSOS",,,"[{""url"": ""https://pbs.twimg.com/media/E09_7YTXoAAuB3i.jpg"", ""type"": ""photo""}]",2021-05-09,"['paromatabebes', 'elparovioladdhh', 'repudioalvandalo', 'vandalosasesinos', 'nomasbloqueos', 'nomasparo', 'apoyoamipolicia', 'conmocioninteriorya', 'dejanospasar', 'parodestructorsos', 'butter', 'come']",[],[]
44,44,2021-05-09T12:59:40+00:00,1391377327746060289,1391342240610590728,"@LaIntelectual8 This hashtag is new?
#ConmocionInteriorYA #PetroEsUnHampon #PetroDelincuente",en,False,False,0,0,2,0,,,,106581640,Oft_Gefragt,キリナ,False,1.3913585407664865e+18,1.3903594612110336e+18,"#ConmocionInteriorYA , #PetroEsUnHampon , #PetroDelincuente",LaIntelectual8,,[],2021-05-09,"['hashtag', 'new', 'conmocioninteriorya', 'petroesunhampon', 'petrodelincuente']",[],[]
45,45,2021-05-09T02:24:31+00:00,1391217486473871365,1391217486473871365,"honey, you're always on my mind
#ElParoViolaDDHH #ElParoEsViolencia #ConmocionInteriorYA #ApoyoAMiPolicia #ApoyoAlEsmad #VandalosAsesinos #VandalismoPuroYDuro #YoApoyoAMisHeroes #YoNoMarchoYoProduzco #YoNoParoYoProduzco  #ElParoEsViolencia https://t.co/GPXdwVErry",en,False,False,2,2,0,0,,,,1389979554865889282,Akemi04289952,Akemi,False,,,"#ElParoViolaDDHH , #ElParoEsViolencia , #ConmocionInteriorYA , #ApoyoAMiPolicia , #ApoyoAlEsmad , #VandalosAsesinos , #VandalismoPuroYDuro , #YoApoyoAMisHeroes , #YoNoMarchoYoProduzco , #YoNoParoYoProduzco , #ElParoEsViolencia",,,"[{""url"": ""https://pbs.twimg.com/media/E06Y7GyXsAMc4sH.jpg"", ""type"": ""photo""}]",2021-05-09,"['honey', 'you are', 'always', 'mind', 'elparovioladdhh', 'elparoesviolencia', 'conmocioninteriorya', 'apoyoamipolicia', 'apoyoalesmad', 'vandalosasesinos', 'vandalismopuroyduro', 'yoapoyoamisheroes', 'yonomarchoyoproduzco', 'yonoparoyoproduzco', 'elparoesviolencia']",[],[]
