,created_at,id_str,conversation_id_str,full_text,twitter_lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticons_list,filename,preprocessed_data_without_hashtags,data_source,lang,score,langTb,lang_langdetect
1995,2021-05-29T00:38:29+00:00,1.39844e+18,1.39844e+18,#ParoNacional28A #ParoIndefinido2021 #SOSColmbia #Justicia #louieslikelouis #viral #Twitter #ColombiaSOS #ColombiaEnAlertaRoja #ColombiaResiste sin mas @hausfree7 instagram https://t.co/22dU802nIC,en,False,False,0.0,0.0,0.0,0.0,,,,1.12707e+18,hausfree,HausFree,False,,,"#ParoNacional28A , #ParoIndefinido2021 , #SOSColmbia , #Justicia , #louieslikelouis , #viral , #Twitter , #ColombiaSOS , #ColombiaEnAlertaRoja , #ColombiaResiste",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1398437741499760648/pu/img/uZFNW3oYD6tsJbUY.jpg"", ""type"": ""photo""}]",2021-05-29,"['paronacional', 'paroindefinido', 'soscolmbia', 'justicia', 'louieslikelouis', 'viral', 'twitter', 'colombiasos', 'colombiaenalertaroja', 'colombiaresiste', 'sin', 'ma', 'instagram']",[],[],ARONACIONAL28A_ENGLISH_tweets_stweet.csv,"['sin', 'ma', 'instagram']",Twitter,en,,,
2095,2021-05-06T17:07:10+00:00,1.3903524491357755e+18,1.390350896459047e+18,"@emzberri thanks in advance, you can check these hashtags: #SOSColombiaNosEstanMatando #SOSColombiaDDHH #ParoNacional28A #ParoNacional1M #ParoNacional2M",en,False,False,0.0,1.0,1.0,0.0,,,,180478801.0,medina1camilo,Papá de Dante.,False,1.390351455295574e+18,1.046092397086675e+18,"#SOSColombiaNosEstanMatando , #SOSColombiaDDHH , #ParoNacional28A , #ParoNacional1M , #ParoNacional2M",emzberri,,[],2021-05-06,"['thanks', 'advance', 'check', 'hashtags', 'soscolombianosestanmatando', 'soscolombiaddhh', 'paronacional', 'paronacional', 'paronacional']",[],[],aroNacional1M_ENGLISH_tweets_stweet.csv,"['thanks', 'advance', 'check', 'hashtags']",Twitter,en,,,
2179,2021-04-18T15:52:54+00:00,1.3838107815741686e+18,1.3838107815741686e+18,"A las calles.
#ParoNacional28A 
#ParoNacionalIndefinido",es,False,False,0.0,2.0,1.0,0.0,1.38376425632836e+18,,,1.3250704198509158e+18,gritoenboca,Diego Fernando 🆘🇨🇴,False,,,"#ParoNacional28A , #ParoNacionalIndefinido",,,[],2021-04-18,"['la', 'calles', 'paronacional', 'paronacionalindefinido']",[],[],aroNacionalIndefinido_ENGLISH_tweets_stweet (2).csv,"['la', 'calles']",Twitter,en,,,
2359,2021-04-16T21:44:19+00:00,1.3831744414761656e+18,1.3831744414761656e+18,#ReformaTributariaEsMasHambre #ParoNacional28A #ParoNacional oh si,in,False,False,0.0,0.0,0.0,0.0,1.3831741817355223e+18,,,4827244296.0,mmiranda_ls1,mmiranda_ls,False,,,"#ReformaTributariaEsMasHambre , #ParoNacional28A , #ParoNacional",,,[],2021-04-16,"['reformatributariaesmashambre', 'paronacional', 'paronacional', 'oh', 'si']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['oh', 'si']",Twitter,en,,,
2417,2021-06-04T15:29:16+00:00,1.4008370623502336e+18,1.4008370623502336e+18,"Protesters back on the streets of Colombia amid stalled talks. https://t.co/GkMRxoM9Be.
#voteourvoice, #wearedemocracy, #ParoNacional28A, #SOSColombia, #HelpUs , #SOSColombia,
#NTVNews, #Colombia, #ParoNacional28A, #ParoNacional ,#Colombia, #ParoNacional30A
#ParoNacional29A,",en,False,False,0.0,0.0,1.0,0.0,,,,9.13172731671253e+17,VoteOurVoice,VoteOurVoice,False,,,"#voteourvoice , #wearedemocracy , #ParoNacional28A , #SOSColombia , #HelpUs , #SOSColombia , #NTVNews , #Colombia , #ParoNacional28A , #ParoNacional , #Colombia , #ParoNacional30A , #ParoNacional29A",,https://t.co/GkMRxoM9Be,[],2021-06-04,"['protester', 'back', 'street', 'colombia', 'amid', 'stall', 'talk', 'voteourvoice', 'wearedemocracy', 'paronacional', 'soscolombia', 'helpus', 'soscolombia', 'ntvnews', 'colombia', 'paronacional', 'paronacional', 'colombia', 'paronacional', 'paronacional']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['protester', 'back', 'street', 'colombia', 'amid', 'stall', 'talk']",Twitter,en,,,
2445,2021-06-18T21:38:31+00:00,1.4060034186537247e+18,1.4060034186537247e+18,"Why brutal protests have been sweeping across Colombia – video explainer. https://t.co/CA943pBxpj. #voteourvoice, #wearedemocracy, #ParoNacional28A, #SOSColombia, #HelpUs , #SOSColombia,
#NTVNews, #Colombia, #ParoNacional28A, #ParoNacional ,#Colombia, #ParoNacional30A",en,False,False,0.0,0.0,1.0,0.0,,,,9.13172731671253e+17,VoteOurVoice,VoteOurVoice,False,,,"#voteourvoice , #wearedemocracy , #ParoNacional28A , #SOSColombia , #HelpUs , #SOSColombia , #NTVNews , #Colombia , #ParoNacional28A , #ParoNacional , #Colombia , #ParoNacional30A",,https://t.co/CA943pBxpj,[],2021-06-18,"['brutal', 'protest', 'sweep', 'across', 'colombia', 'video', 'explainer', 'voteourvoice', 'wearedemocracy', 'paronacional', 'soscolombia', 'helpus', 'soscolombia', 'ntvnews', 'colombia', 'paronacional', 'paronacional', 'colombia', 'paronacional']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['brutal', 'protest', 'sweep', 'across', 'colombia', 'video', 'explainer']",Twitter,en,,,
2458,2021-06-17T17:14:43+00:00,1.405574641435951e+18,1.405574641435951e+18,"In Colombia, protest leaders say they will suspend anti-government marches. https://t.co/0CJIgHtLJy. #voteourvoice, #wearedemocracy, #ParoNacional28A, #SOSColombia, #HelpUs , #SOSColombia,
#NTVNews, #Colombia, #ParoNacional28A, #ParoNacional ,#Colombia, #ParoNacional30A",en,False,False,1.0,0.0,1.0,0.0,,,,9.13172731671253e+17,VoteOurVoice,VoteOurVoice,False,,,"#voteourvoice , #wearedemocracy , #ParoNacional28A , #SOSColombia , #HelpUs , #SOSColombia , #NTVNews , #Colombia , #ParoNacional28A , #ParoNacional , #Colombia , #ParoNacional30A",,https://t.co/0CJIgHtLJy,[],2021-06-17,"['colombia', 'protest', 'leader', 'say', 'suspend', 'antigovernment', 'march', 'voteourvoice', 'wearedemocracy', 'paronacional', 'soscolombia', 'helpus', 'soscolombia', 'ntvnews', 'colombia', 'paronacional', 'paronacional', 'colombia', 'paronacional']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['colombia', 'protest', 'leader', 'say', 'suspend', 'antigovernment', 'march']",Twitter,en,,,
2481,2021-07-09T03:32:03+00:00,1.4133401452108308e+18,1.4133401452108308e+18,"Colombia used 'excessive force' against protesters, says human rights report. https://t.co/gZA25PAEFD. #voteourvoice, #wearedemocracy, #ParoNacional28A, #SOSColombia, #HelpUs , #SOSColombia,
#NTVNews, #Colombia, #ParoNacional28A, #ParoNacional ,#Colombia, #ParoNacional30A",en,False,False,1.0,2.0,1.0,0.0,,,,9.13172731671253e+17,VoteOurVoice,VoteOurVoice,False,,,"#voteourvoice , #wearedemocracy , #ParoNacional28A , #SOSColombia , #HelpUs , #SOSColombia , #NTVNews , #Colombia , #ParoNacional28A , #ParoNacional , #Colombia , #ParoNacional30A",,https://t.co/gZA25PAEFD,[],2021-07-09,"['colombia', 'use', 'excessive', 'force', 'protester', 'say', 'human', 'right', 'report', 'voteourvoice', 'wearedemocracy', 'paronacional', 'soscolombia', 'helpus', 'soscolombia', 'ntvnews', 'colombia', 'paronacional', 'paronacional', 'colombia', 'paronacional']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['colombia', 'use', 'excessive', 'force', 'protester', 'say', 'human', 'right', 'report']",Twitter,en,,,
2534,2021-08-17T17:13:36+00:00,1.4276800215153254e+18,1.4276800215153254e+18,"As Colombian protests dissipate, activists hit by wave of arrests. https://t.co/1nVb34kTbx. #voteourvoice, #wearedemocracy, #ParoNacional28A, #SOSColombia, #HelpUs , #SOSColombia,
#NTVNews, #Colombia, #ParoNacional28A, #ParoNacional ,#Colombia, #ParoNacional30A
#ParoNacional29A,",en,False,False,0.0,0.0,0.0,0.0,,,,9.13172731671253e+17,VoteOurVoice,VoteOurVoice,False,,,"#voteourvoice , #wearedemocracy , #ParoNacional28A , #SOSColombia , #HelpUs , #SOSColombia , #NTVNews , #Colombia , #ParoNacional28A , #ParoNacional , #Colombia , #ParoNacional30A , #ParoNacional29A",,https://t.co/1nVb34kTbx,[],2021-08-17,"['colombian', 'protest', 'dissipate', 'activist', 'hit', 'wave', 'arrest', 'voteourvoice', 'wearedemocracy', 'paronacional', 'soscolombia', 'helpus', 'soscolombia', 'ntvnews', 'colombia', 'paronacional', 'paronacional', 'colombia', 'paronacional', 'paronacional']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['colombian', 'protest', 'dissipate', 'activist', 'hit', 'wave', 'arrest']",Twitter,en,,,
2537,2021-08-24T00:20:52+00:00,1.4299618747293243e+18,1.4299618747293243e+18,Robaron a will smith!! #NuestroProblemaEs #Colombia #ParoNacional #CORRUPCION https://t.co/O7USHlJ5AB,en,False,False,1.0,1.0,1.0,0.0,,,,1.264593276054704e+18,Todosunidosxcol,Todos por colombia,False,,,"#NuestroProblemaEs , #Colombia , #ParoNacional , #CORRUPCION",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1429960658888675331/pu/img/FN0uI2bme-seSiTq.jpg"", ""type"": ""photo""}]",2021-08-24,"['robaron', 'smith', 'nuestroproblemaes', 'colombia', 'paronacional', 'corrupcion']",[],[],aroNacional_ENGLISH_tweets_stweet.csv,"['robaron', 'smith']",Twitter,en,,,
3760,2021-06-18T14:02:36+00:00,1.4058886834216018e+18,1.4058886834216018e+18,"https://t.co/IX0NW6bR93
The best tracks for your playlist
Mood for every day
We publish every hour
#Genshin_Impact #BBB21 #BTS_Butter #لقاء_ولي_العهد #NoALaReformaTributaria #ParoNacional28A #ForaArthur #Ukraine https://t.co/EdIxTBXrHu",en,False,False,0.0,0.0,0.0,0.0,,,,9.193314936542126e+17,streetKompozit,𝕾𝖙𝖗𝖊𝖊𝖙𝕶𝖔𝖒𝖕𝖔𝖟𝖎𝖙𝖔𝖗,False,,,"#Genshin_Impact , #BBB21 , #BTS_Butter , #لقاء_ولي_العهد , #NoALaReformaTributaria , #ParoNacional28A , #ForaArthur , #Ukraine",,https://t.co/IX0NW6bR93,"[{""url"": ""https://pbs.twimg.com/media/E4K4SceXIAIbOh7.jpg"", ""type"": ""photo""}]",2021-06-18,"['best', 'track', 'playlist', 'mood', 'every', 'day', 'publish', 'every', 'hour', 'genshin_impact', 'bbb', 'bts_butter', 'لقاء_ولي_العهد', 'noalareformatributaria', 'paronacional', 'foraarthur', 'ukraine']",[],[],oalareformatributaria _ENGLISH_tweets_stweet.csv,"['best', 'track', 'playlist', 'mood', 'every', 'day', 'publish', 'every', 'hour']",Twitter,en,,,
3761,2021-07-21T01:34:32+00:00,1.4176592254640497e+18,1.4176592254640497e+18,"The Oh So Smooth Brothers of Lambda Sigma Upsilon Latino Fraternity, Inc. would like to wish our people of Colombia a Happy 211th Independence Day! #UnidosPorUnPais #Colombia🇨🇴  #ParoNacional28a
#NoAlaReformaTributaria https://t.co/6vLvLImHgj",en,False,False,0.0,0.0,0.0,0.0,,,,1.25405171695113e+18,XaraguaXmen,Xaragua XMEN,False,,,"#UnidosPorUnPais , #Colombia , #ParoNacional28a , #NoAlaReformaTributaria",,https://t.co/6vLvLImHgj,[],2021-07-21,"['oh', 'smooth', 'brother', 'lambda', 'sigma', 'upsilon', 'latino', 'fraternity', 'inc', 'would', 'like', 'wish', 'people', 'colombia', 'happy', 'th', 'independence', 'day', 'unidosporunpais', 'colombia', 'paronacional', 'noalareformatributaria']",['🇨🇴'],[],oalareformatributaria _ENGLISH_tweets_stweet.csv,"['oh', 'smooth', 'brother', 'lambda', 'sigma', 'upsilon', 'latino', 'fraternity', 'inc', 'would', 'like', 'wish', 'people', 'colombia', 'happy', 'th', 'independence', 'day']",Twitter,en,,,
3894,2021-05-09T23:59:33+00:00,1.39154e+18,1.39154e+18,"@marwantabbaramp, we want to hear your position about the massacre in Colombia, caused by the government and police force #SOSColombiaNosEstanMatando #soscolombia",en,False,False,0.0,0.0,0.0,0.0,,,,364540724.0,adbc1974,ABC,False,,3398024471.0,"#SOSColombiaNosEstanMatando , #soscolombia",marwantabbaramp,,[],2021-05-09,"['want', 'hear', 'position', 'massacre', 'colombia', 'cause', 'government', 'police', 'force', 'soscolombianosestanmatando', 'soscolombia']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['want', 'hear', 'position', 'massacre', 'colombia', 'cause', 'government', 'police', 'force']",Twitter,en,,,
3895,2021-05-09T23:59:20+00:00,1.39154e+18,1.39152e+18,"@MovNaranja3 Colombia needs help🆘🆘🆘
 #comisioninteramericanadederechoshumanos #EuropeanCourtofhumanrights #amnistiainternacional #civilrightsdefenders #humanrightswithoutfrontiers #physiciansforhumanrights #globalrights #humanrights #SOS #Colombia #soscolombia #Colombiaalertaroja",en,False,False,0.0,0.0,0.0,0.0,,,,7.64233e+17,solomiroporno,Una coquetería Insasiable,False,1.39e+18,8.77e+17,"#comisioninteramericanadederechoshumanos , #EuropeanCourtofhumanrights , #amnistiainternacional , #civilrightsdefenders , #humanrightswithoutfrontiers , #physiciansforhumanrights , #globalrights , #humanrights , #SOS , #Colombia , #soscolombia , #Colombiaalertaroja",MovNaranja3,,[],2021-05-09,"['colombia', 'need', 'help', 'comisioninteramericanadederechoshumanos', 'europeancourtofhumanrights', 'amnistiainternacional', 'civilrightsdefenders', 'humanrightswithoutfrontiers', 'physiciansforhumanrights', 'globalrights', 'humanrights', 'colombia', 'soscolombia', 'colombiaalertaroja']",['🆘🆘🆘'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'need', 'help']",Twitter,en,,,
3896,2021-05-09T23:58:58+00:00,1.39154e+18,1.3911e+18,"@Pedacitosterror Colombia needs help🆘🆘🆘
 #comisioninteramericanadederechoshumanos #EuropeanCourtofhumanrights #amnistiainternacional #civilrightsdefenders #humanrightswithoutfrontiers #physiciansforhumanrights #globalrights #humanrights #SOS #Colombia #soscolombia #Colombiaalertaroja",en,False,False,0.0,0.0,0.0,0.0,,,,7.64233e+17,solomiroporno,Una coquetería Insasiable,False,1.39e+18,9.62e+17,"#comisioninteramericanadederechoshumanos , #EuropeanCourtofhumanrights , #amnistiainternacional , #civilrightsdefenders , #humanrightswithoutfrontiers , #physiciansforhumanrights , #globalrights , #humanrights , #SOS , #Colombia , #soscolombia , #Colombiaalertaroja",Pedacitosterror,,[],2021-05-09,"['colombia', 'need', 'help', 'comisioninteramericanadederechoshumanos', 'europeancourtofhumanrights', 'amnistiainternacional', 'civilrightsdefenders', 'humanrightswithoutfrontiers', 'physiciansforhumanrights', 'globalrights', 'humanrights', 'colombia', 'soscolombia', 'colombiaalertaroja']",['🆘🆘🆘'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'need', 'help']",Twitter,en,,,
3897,2021-05-09T23:58:33+00:00,1.39154e+18,1.3915e+18,"@6w_es Colombia needs help🆘🆘🆘
 #comisioninteramericanadederechoshumanos #EuropeanCourtofhumanrights #amnistiainternacional #civilrightsdefenders #humanrightswithoutfrontiers #physiciansforhumanrights #globalrights #humanrights #SOS #Colombia #soscolombia #Colombiaalertaroja",en,False,False,0.0,0.0,0.0,0.0,,,,7.64233e+17,solomiroporno,Una coquetería Insasiable,False,1.39e+18,7.69e+17,"#comisioninteramericanadederechoshumanos , #EuropeanCourtofhumanrights , #amnistiainternacional , #civilrightsdefenders , #humanrightswithoutfrontiers , #physiciansforhumanrights , #globalrights , #humanrights , #SOS , #Colombia , #soscolombia , #Colombiaalertaroja",6w_es,,[],2021-05-09,"['colombia', 'need', 'help', 'comisioninteramericanadederechoshumanos', 'europeancourtofhumanrights', 'amnistiainternacional', 'civilrightsdefenders', 'humanrightswithoutfrontiers', 'physiciansforhumanrights', 'globalrights', 'humanrights', 'colombia', 'soscolombia', 'colombiaalertaroja']",['🆘🆘🆘'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'need', 'help']",Twitter,en,,,
3898,2021-05-09T23:58:19+00:00,1.39154e+18,1.39149e+18,"@AyGreciaa Colombia needs help🆘🆘🆘
 #comisioninteramericanadederechoshumanos #EuropeanCourtofhumanrights #amnistiainternacional #civilrightsdefenders #humanrightswithoutfrontiers #physiciansforhumanrights #globalrights #humanrights #SOS #Colombia #soscolombia #Colombiaalertaroja",en,False,False,0.0,0.0,0.0,0.0,,,,7.64233e+17,solomiroporno,Una coquetería Insasiable,False,1.39e+18,1.15e+18,"#comisioninteramericanadederechoshumanos , #EuropeanCourtofhumanrights , #amnistiainternacional , #civilrightsdefenders , #humanrightswithoutfrontiers , #physiciansforhumanrights , #globalrights , #humanrights , #SOS , #Colombia , #soscolombia , #Colombiaalertaroja",AyGreciaa,,[],2021-05-09,"['colombia', 'need', 'help', 'comisioninteramericanadederechoshumanos', 'europeancourtofhumanrights', 'amnistiainternacional', 'civilrightsdefenders', 'humanrightswithoutfrontiers', 'physiciansforhumanrights', 'globalrights', 'humanrights', 'colombia', 'soscolombia', 'colombiaalertaroja']",['🆘🆘🆘'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'need', 'help']",Twitter,en,,,
3899,2021-05-09T23:57:47+00:00,1.39154e+18,1.3915e+18,"@DebRyanShow Colombia needs help🆘🆘🆘
 #comisioninteramericanadederechoshumanos #EuropeanCourtofhumanrights #amnistiainternacional #civilrightsdefenders #humanrightswithoutfrontiers #physiciansforhumanrights #globalrights #humanrights #SOS #Colombia #soscolombia #Colombiaalertaroja",en,False,False,0.0,0.0,0.0,0.0,,,,7.64233e+17,solomiroporno,Una coquetería Insasiable,False,1.39e+18,318319280.0,"#comisioninteramericanadederechoshumanos , #EuropeanCourtofhumanrights , #amnistiainternacional , #civilrightsdefenders , #humanrightswithoutfrontiers , #physiciansforhumanrights , #globalrights , #humanrights , #SOS , #Colombia , #soscolombia , #Colombiaalertaroja",DebRyanShow,,[],2021-05-09,"['colombia', 'need', 'help', 'comisioninteramericanadederechoshumanos', 'europeancourtofhumanrights', 'amnistiainternacional', 'civilrightsdefenders', 'humanrightswithoutfrontiers', 'physiciansforhumanrights', 'globalrights', 'humanrights', 'colombia', 'soscolombia', 'colombiaalertaroja']",['🆘🆘🆘'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'need', 'help']",Twitter,en,,,
